confidence,gloss_overlap,corpus_id,corpus_page,corpus_headword,corpus_pos,corpus_gloss,creider_primary,creider_secondary,creider_gloss,creider_pos,creider_page,notes
HIGH,1.00,p209_musarek_n,209,musarek,noun,"porridge, gmel. kechul musarek to make porridge (kechul = to stir)",mú:sâr,mú:sár-ê:k,porridge,n,52,
HIGH,1.00,p031_anyiny_a,31,anyiny,adjective,"sweet, tasty, delicious",ányîny,,"sweet, tasty",adj,62,
HIGH,1.00,p150_korom_a,150,korom,adjective,fierce,kórô:m,,fierce,adj,62,
HIGH,1.00,p172_lalang'_a,172,lalang',adjective,"Malang, lalang(-e:n)/ 1. warm",lálâng,,warm,adj,62,
HIGH,1.00,p178_lo_a,178,lo,adjective,"far, distant, deep",lô:,,"far, deep",adj,62,
HIGH,1.00,p228_ng'utum_a,228,ng'utum,adjective,blunt,ngútû:m,,blunt,adj,62,
HIGH,1.00,p229_ng'wan_a,229,ng'wan,adjective,1 bitter,ngwâ:n,,bitter,adj,62,
HIGH,1.00,p233_nyalil_a,233,nyalil,adjective,"green, kigombet ne nyalil a green cup",nyálî:l,,green,adj,62,
HIGH,1.00,p241_OS_a,241,OS,adjective,old,ô:s,,old,adj,62,
HIGH,1.00,p293_tilil_a,293,tilil,adjective,1. clean. 2. guiltless,tílî:l,,clean,adj,62,
HIGH,1.00,p109_kararan_a,109,kararan,adjective,"beautiful, delightful, nice",kárâ:rán,,beautiful,adj,63,plural: kárâ:ran
HIGH,1.00,p125_kim_a,125,kim,adjective,1. strong,kí:m,,strong,adj,63,plural: kí:me:n
HIGH,1.00,p196_mining'_a,196,mining',adjective,small,míníng,,small,adj,64,plural: ménke:c
HIGH,1.00,p222_ng'ering_a,222,ng'ering,adjective,"few, not much, a smidgin (plural only)",ngéri:ng,,few,adj,64,
HIGH,1.00,p281_tala_a,281,tala,adjective,"gentle, tranquil, mellow",tálá,,gentle,adj,64,plural: táláe:n
HIGH,1.00,p316_ya_a,316,ya,adjective,1. bad,yâ,,bad,adj,64,plural: yáac
HIGH,1.00,hollis_p183_aeng_num,183,aeng,numeral,two. (alt oieng),áê:ng,,two,num,64,
HIGH,1.00,p270_somok_num,270,somok,numeral,"/somok/ three, somsom",sómok,,three,num,64,
HIGH,1.00,p031_ang'wan_num,31,ang'wan,numeral,four,ángwân,,four,num,64,
HIGH,1.00,p210_mut_num,210,mut,numeral,"five, siling' mut five shillings",mû:t,,five,num,64,
HIGH,1.00,hollis_p183_tisap_num,183,tisap,numeral,seven,tísap,,seven,num,64,
HIGH,1.00,p268_sisit_num,268,sisit,numeral,eight,sisí:t,,eight,num,64,
HIGH,1.00,hollis_p183_sokol_num,183,sokol,numeral,nine,sókô:l,,nine,num,64,
HIGH,1.00,p282_taman_num,282,taman,numeral,ten. tamang'ewet,táman,,ten,num,64,
HIGH,1.00,hollis_p183_tiptem_num,183,tiptem,numeral,twenty,típtém,,twenty,num,65,
HIGH,1.00,p271_sosom_num,271,sosom,numeral,thirty,sosóm,,thirty,num,65,
HIGH,1.00,p032_artam_num,32,artam,numeral,forty,ártám,,forty,num,65,
HIGH,1.00,p149_konom_num,149,konom,numeral,fifty,konóm,,fifty,num,65,
HIGH,1.00,p241_orit_n,241,orit,noun,inside,órî:t,,inside,adv,67,
HIGH,1.00,p197_mising'_adv,197,mising',adverb,"very much, a lot",mi:síng,,very,adv,67,
HIGH,1.00,p031_anyun_adv,31,anyun,adverb,then; indeed,ányun,,indeed,adv,67,
HIGH,1.00,p29_ke_am_v,29,ke-am,verb,to eat,ke:-ám,,to eat (it),v,92,
HIGH,1.00,p173_ke_le_v,173,ke-le,verb,to say,ke:-le,,to say,v,129,
HIGH,1.00,p96_inye_n,96,inye,noun,"you (sg.), thou, thee",ínyê:,íny e:,you (2sg),pron,57,
HIGH,1.00,p96_inye_n,96,inye,noun,"you (sg.), thou, thee",ínyê:,íny e:,you (2sg),pron,57,
HIGH,1.00,p93_ine_n,93,ine,noun,"she, he, it",ínê:,íne:,"he, she, it (3sg)",pron,57,
HIGH,1.00,p93_ine_n,93,ine,noun,"she, he, it",ínê:,íne:,"he, she, it (3sg)",pron,57,
HIGH,1.00,hollis_p184_okwek_pron,184,okwek,pronoun,you (pl.),ókwê:k,ókwe:k,you (2pl),pron,57,
HIGH,1.00,hollis_p184_okwek_pron,184,okwek,pronoun,you (pl.),ókwê:k,ókwe:k,you (2pl),pron,57,
HIGH,0.50,p289_teret_n,289,teret,noun,ter-e:t _a:p inkw-e:k/ teret ab kimoi cooking pot (for cooking kimiet),ter-e,ter-é:t,earthen pot,n,43,
HIGH,0.50,hollis_p172_or_n,172,or,noun,"path, clan",ò:r,ó:r-ê:t,"road, clan",n,44,alt primary: ó:r-â
HIGH,0.50,p241_oret_n,241,oret,noun,"1. road, path",ò:r,ó:r-ê:t,"road, clan",n,44,alt primary: ó:r-â
HIGH,0.50,hollis_p176_kipsikisin_n,176,kipsikisin,noun,Lumbwa person,kipsiki:s-í:n,kipsiki:s-i:n-tèt,Kipsigis person,n,45,
HIGH,0.50,p209_mursik_n,209,mursik,noun,milk thickened in specially prepared gourd,murs-i,murs-í:k,clabbered milk,n,51,
LOW,0.00,p195_milet_n,195,milet,noun,ka:-tu:yye: sumpaen yu pa:r-ey _ak _mil-e:t/ ke-mimi v,míl-a,míl-é:t,"burden, load",n,43,
LOW,0.00,hollis_p173_siro_n,173,siro,noun,"band, stripe",sí:r-o,sí:r-é:t,market,n,43,
LOW,0.00,p236_ke_nyit_v,236,ke-nyit,verb,"to annoy, infuriate",keny-i,keny-í:t,year,n,43,
LOW,0.00,p212_moet_n,212,moet,noun,"1. stomach, belly. O moet",mò:-o,mò:-é:t,wound,n,44,
LOW,0.00,hollis_p172_kat_n,172,kat,noun,neck,ká:t,ka:t-ê:t,arrow,n,44,alt primary: ka:t-à
LOW,0.00,p111_katet_n,111,katet,noun,1. thorn,ká:t,ka:t-ê:t,arrow,n,44,alt primary: ka:t-à
LOW,0.00,hollis_p172_em_n,172,em,noun,earth,è:m,é:m-ê:t,country,n,45,
LOW,0.00,p172_lal_v,172,lal,verb,to cough,là:l,lá:l-ê:t,bag,n,45,
LOW,0.00,p172_lalet_n,172,lalet,noun,"horn, lalet ab mwaita hom of oil",là:l,lá:l-ê:t,bag,n,45,
LOW,0.00,hollis_p174_kong_n,174,kong,noun,hole,kò:ng,kó:n-tâ,eye,n,47,
LOW,0.00,p113_kel_n,113,kel,noun,"1. bottom, ket kel bottom of the tree",kè:l,ké:l-tâ,"foot, leg",n,47,
LOW,0.00,p225_ng'ok_a,225,ng'ok,adjective,selfish,ngò:k,ngò:k-tà,dog,n,47,
LOW,0.00,p226_ng'ot_v,226,ng'ot,verb,to put too much in,ngòt,ngot-ít,spear,n,48,
LOW,0.00,p230_ng'ot_vven,230,ng'ot,verb,to outwit,ngòt,ngot-ít,spear,n,48,
LOW,0.00,hollis_p172_kat_n,172,kat,noun,neck,kà,kâ:t,house,n,48,
LOW,0.00,p302_tung'wek_n,302,tung'wek,noun,"head cold, spittle, tung'wek. I have a cold (a cold is eating me)",túng-wa,túng-wé:k,colds,n,51,
LOW,0.00,hollis_p177_musar_n,177,musar,noun,gruel,mú:sâr,mú:sár-ê:k,porridge,n,52,
LOW,0.00,p182_lo_num,182,lo,numeral,"/la/ six. lo, tisab. (It's) not six, (it's) seven",lô:,,"far, deep",adj,62,
LOW,0.00,p233_nyalil_v,233,nyalil,verb,"to mistreat, torment",nyálî:l,,green,adj,62,
LOW,0.00,p210_mut_v,210,mut,verb,to cut in two with one blow; hit hard with a heavy cane. 2. to poison,mû:t,,five,num,64,
LOW,0.00,p210_mut_v,210,mut,verb,to rumble,mû:t,,five,num,64,
LOW,0.00,p176_let_v,176,let,verb,"[cf ke-la to braid] to spin (hair, thread), braid by spinning",lèt,,behind,adv,67,
LOW,0.00,p237_ke_nyor_vven,237,ke-nyor,verb,to fmd,ke:-nyo:r,,to find,v,86,
LOW,0.00,p267_ke_sir_vven,267,ke-sir,verb,to have a rash,ke:-si:r,,"to pass, exceed",v,150,
LOW,0.00,p267_ke_sir_vrefl,267,ke-sir,verb,not to agree with one another about,ke:-si:r,,"to pass, exceed",v,150,
LOW,0.00,p180_ke_lu_v,180,ke-lu,verb,"to drink (milk only, cf ke-e)",ke:-lú:,,to shine,v,17,
LOW,0.00,hollis_p184_ane_pron,184,ane,pronoun,"I, me",ánê:,áne:,"I, me (1sg)",pron,57,
LOW,0.00,hollis_p184_ane_pron,184,ane,pronoun,"I, me",ánê:,áne:,"I, me (1sg)",pron,57,
LOW,0.00,hollis_p184_inye_pron,184,inye,pronoun,"thou, thee",ínyê:,íny e:,you (2sg),pron,57,
LOW,0.00,hollis_p184_inye_pron,184,inye,pronoun,"thou, thee",ínyê:,íny e:,you (2sg),pron,57,
LOW,0.00,p027__ak_af,27,-ak,affix,one,àk,,and; with,conj,70,
LOW,0.00,p087_eng'_p,87,eng',particle,in. eng orit in the inside,é:ng,,"in, with, by",prep,69,
