id,page,headword,pos,gloss,phonetic,example_nandi,example_english,concern,reviewer_action,corrected_headword,corrected_pos,corrected_gloss,corrected_phonetic,corrected_example_nandi,corrected_example_english,splits_into,reviewer_notes,reviewer_name
p098_isiriat_n,98,isiriat,noun,louse,_isir-ya:t ; _isir-ya:; _isir ; _isir-e:k,,Oei ne isiriandani? What is this louse doing?,CLEAN,,,,,,,,,,
p098_itindet_n,98,itindet,noun,someone who goes around from place to place,i:t-i:n-tet ; i:t-i:n; i:t ; i:ti:k,Iti ko.,Someone who goes from house to house.,CLEAN,,,,,,,,,,
p098_itit_n,98,itit,noun,ear. itit ab Jelagat,i:t-it ; i:t; i:t ; i:t-i:k,,Chelagat's ear is large.,HAS-GHOSTS,,,,,,,,,,
p98_ke_it_vven,98,ke-it,verb,to arrive hither (e.g. home),_ke:-it,Kaaitu.,I've arrived.,RECONSTRUCTED,,,,,,,,,,
p98_ke_it_vven,98,ke-it,verb,peep out,ke:-i:t,Koit cheringisiet eng' kebenet.,The lizard peeped out ofthe cave.,RECONSTRUCTED,,,,,,,,,,
p98_ke_iten_v,98,ke-iten,verb,to answer a call,ke:-i:ten,Iten!,Answer!.,RECONSTRUCTED,,,,,,,,,,
p099_itogut_n,99,itogut,noun,1. bed. kiito itogut to make the bed,ito:k-u:t ; itô:k; ito:k-u:sya ; ito:k-u:s-yek,2. right side ofhouse for women and children.,Ui itok! Go to the itok!.,CLEAN,,,,,,,,,,
p099_itondo_n,99,itondo,noun,"looks, image, likeness",ito:n-ta ; ito:n; ito:n-wa ; itô:n-u:t ; ito:n-wek ; itô:n-u:tik,Tinei itonut che kergei logok ab koin.,The children of that family all have the same looks.,HAS-GHOSTS,,,,,,,,,,
p099_iwot_n,99,iwot,noun,"rainy season, iwot kut March (beginning ofrainy season)",i:wa:t ; i:wa:t-et,,ko-iya v.,HAS-GHOSTS,,,,,,,,,,
p099_iyeto_n,99,iyeto,noun,"smoke. lyeni iyeto. The smoke is rising, /iyyen-i iyye-ta/",iyye-ta ; iyyet; iyyet-wa ; iyyet-wa:k ; iyyet-wa:k-ik ; iyyetwe:k,,,CLEAN,,,,,,,,,,
p099_iyio_n,99,iyio,noun,(term of address),iyyo:,,,CLEAN,,,,,,,,,,
p099_iyio_adv,99,iyio,adverb,maybe,i:yya,Iyio nyonei.,Maybe (s/he) is coming.,CLEAN,,,,,,,,,,
p099_iyotet_n,99,iyotet,noun,production ofchildren,i:yat-e:t ; i:yat,Tinyei iyot koio.,That family are fertile.,CLEAN,,,,,,,,,,
p099_iywogit_n,99,iywogit,noun,female with many offspring,i:ywa:k-it ; i:ywa:k; i:ywa:k ; i:ywa:k-ik,,"Kooldoiwo teta iywogit ok kole po moek oeng' kitio. (S/he) sold me a tired, old cow and said it had had only two calves.",CLEAN,,,,,,,,,,
p099_iywot_n,99,iywot,noun,"madness, lunacy; craziness (usually used in plural)",i:yw-a:t ; i:yw-a:; i:w-a ; i:w-e:k,Omei iywek boiyot ab kimoseb tai.,The man on the right side is a lunatic.,CLEAN,,,,,,,,,,
hollis_p099_toiyoi_n,99,toiyoi,noun,thunder (also Toiyoi clan),,,,CLEAN,,,,,,,,,,
hollis_p100_chepeloi_n,100,chepeloi,noun,"Chepeloi hill. (""the hill which the spirits set fire to"")",,,,CLEAN,,,,,,,,,,
hollis_p100_cheptapisiet_n,100,cheptapisiet,noun,comet,,,,CLEAN,,,,,,,,,,
p100_Jemesundei_n,100,Jemesundei,noun,name given to girl bom on a dark and moonless night,ce:-mesu:ntey,,Jemetun prn.,HAS-GHOSTS,,,,,,,,,,
hollis_p100_kakipsomok_n,100,kakipsomok,noun,Orion's belt and sword,,,,CLEAN,,,,,,,,,,
hollis_p100_kipokiot_n,100,kipokiot,noun,"Evening Star, Venus. (literally ""Dorobo's star"")",,,,CLEAN,,,,,,,,,,
