rank,nandi_word,frequency_in_examples,headword_id,gloss,recorded,audio_file,notes
370,cheptioi,2,p070_cheptioit_n,wisdom tooth,,,
371,cheringisiet,2,p071_cheringisiet_n,"lizard, gecko",,,
372,cherongo,2,p071_cherongo_n,"westward, west (descending, cf. toror)",,,
373,kobot,2,p163_kobot_n,"/kapot, kopot, apot, pot, kapot (nom.y mother of Kobot JesilutJesilut'smother",,,
374,chorunet,2,p084_chorunet_n,"rising (cf. the unrelated chorunet ab kei lowering down of oneself), chorunet ab",,,
375,musarek,2,p209_musarek_n,"porridge, gmel. kechul musarek to make porridge (kechul = to stir)",,,
376,chum,2,p080_chumbik_n,salt,,,
377,chomindet,2,p083_chomindet_n,"gossiper, slanderer",,,
378,chomut,2,p084_chomutiet_n,gossiping (act of),,,
379,len,2,p176_lengu_n,mi: ce:-ka le:nku/ lenji (see le say),,,
380,engei,2,p087_engei_a,"soft, easy",,,
381,tobe,2,p297_tobet_n,"anvil, ki-toch V",,,
382,lei,2,p175_lei_a,"white, bright, ei ne lei a white ox",,,
383,ibak,2,p089_ibak_adv,/ ipak/ then,,,
384,ilet,2,p090_ilet_n,lightning,,,
385,ingegut,2,p094_ingegutiet_n,"edge, bank ofriver, shore.Mebuteingegutiana.Don't fall over that bank",,,
386,ingelelio,2,p094_ingeleliot_n,disobedient or stubborn person,,,
387,injololiot,2,p096_injololiot_n,silver earring worn by men,,,
388,mogombet,2,p198_mogombet_n,hoe,,,
389,kutundo,2,p159_kutundo_n,knee,,,
390,kipkurguriet,2,p134_kipkurguriet_n,1. thigh bells (worn by women),,,
391,iyio,2,p099_iyio_n,maybe,,,
392,koch,2,p145_kochek_n,blistered rash,,,
393,kainet,2,p104_kainet_n,name,,,
394,kamasanet,2,p106_kamasanet_n,side road,,,
395,ng'inng'in,2,p224_ng'inng'in_a,"on the verge of breaking, fragile; thin(-waisted)",,,
396,karamiet,2,p109_karamiet_n,"wasp, hornet",,,
397,tuut,2,p304_tuut_n,retaining fence for cattle,,,
398,kebebert,2,p111_kebeberta_n,"1. portion, part, slice, piece, unit",,,
399,kurwet,2,p157_kurwet_n,"pronged stick twirled between hands for mixing, whisk.Barbarekurwetmusarek",,,
