rank,nandi_word,frequency_in_examples,headword_id,gloss,recorded,audio_file,notes
221,ng'any,4,p220_ng'anyek_n,"sand, ng'arng'ar",,,
222,kai,4,p104_kainet_n,name,,,
223,nyol,4,p237_nyolset_n,a triumph,,,
224,sumeek,4,p273_sumeek_n,"hair, sumeek ab konyek eyebrows",,,
225,tap,4,p283_taptet_n,flower,,,
226,rib,4,p246_ribrib_a,"level, undulating (land), ribrib (ribriib)",,,
227,mwaita,4,p211_mwaita_n,1. oil. lile kei mwaita! Anoint yourselfwith oil!,,,
228,sas,4,p258_ke_sas_vt,"to look down on, slight, belittle, disapprove of Kasas. (S/he) disapproved of (i",,,
229,sinet,4,p266_sinet_n,"1. poorness, starvation",,,
230,tach,4,p280_ke_tach_vt,"1. to collect, accept with opened hands",,,
231,toror,4,p299_toror_a,1. steep (upwards),,,
232,tus,4,p304_tustus_a,"/tustus, tustus/ soft, cushiony",,,
233,welel,4,p315_ke_welel_vt,1. to turn,,,
234,yon,4,p320_yonyet_n,"harmony, ki-yonyo v",,,
235,aba,3,p027_abai_a,lactating,,,
236,agenge,3,p028_agenge_num,one,,,
237,teget,3,p286_teget_n,"chest, tigitik ab teget chest muscles, Pectoralis",,,
238,anyun,3,p031_anyun_adv,then; indeed,,,
239,kogo,3,p146_kogo_n,a-torô:c-i ko:ko/ Nyonei kogo,,,
240,siling',3,p265_siling'_n,shilling,,,
241,kora,3,p149_kora_adv,"still, anyhow",,,
242,told,3,p298_toldol_a,"1. thick, rich (soil). 2. solid (person). 3. swollen (body part), toldol (toldoo",,,
243,ba,3,p033_baba_n,"father, paternal uncle, baba ne o father's older brother",,,
244,ban,3,p035_ke_ban_vt,to bewitch,,,
245,bara,3,p036_bara_a,"broad, spacious, wide",,,
246,beluk,3,p039_beluk_adv,"/peluk/ somersault, kebar peluk to do somersaults",,,
247,asista,3,p032_asista_n,1. sun,,,
248,ing'unyut,3,p093_ing'unyut_n,1. world,,,
249,betwet,3,p041_betwet_n,"1. opening ofangle (as in comer ofeye, web of fingers, crotch), betwet ab konda ",,,
250,rot,3,p250_ke_rot_vi,1. to flow,,,
251,muriat,3,p208_muriat_n,rat,,,
252,bur,3,p050_buret_n,[bureti place with mist] July,,,
253,ai,3,p028_aita_n,calf (of leg),,,
254,ongot,3,p324_ongot_adv,/ankot/ 1. even,,,
255,chabai,3,p054_chabai_a,"smooth-surfaced,slippery",,,
256,mul,3,p205_mulial_a,"1. blurry, fuzzy, hazy; unable to see clearly, dim-sighted",,,
257,usit,3,p312_usit_n,thread,,,
258,katet,3,p111_katet_n,1. thorn,,,
259,tumdo,3,p302_tumdo_n,"ceremony, esp. ofinitiation. ki-tun V",,,
260,eiyo,3,p085_eiyo_n,"mother, mother's sister",,,
261,en,3,p087_eng'_p,in. eng orit in the inside,,,
262,koib,3,p146_koibet_n,solid wooden swinging door in Nandi house,,,
263,kitabut,3,p143_kitabut_n,book,,,
264,ketu,3,p120_keturek_n,"dried cow manure, fertiliser ke-get-yi v.app",,,
265,imbar,3,p091_imbaret_n,field (cultivated),,,
266,ine,3,p093_inet_n,sinew (used for bowstring),,,
267,inga,3,p093_inga_adv,so,,,
268,ingu,3,p095_inguget_n,"grandfather (reference, cf kugo)",,,
269,ng',3,p221_ng'ei_n,May. ng'ei,,,
270,irokwet,3,p097_irokwet_n,"Coleus forskohlii, shrub to 8 ft. with soft, absorbent leaves used as a towel fo",,,
271,iman,3,p090_imanda_n,1. truth. Momwoei imanda. (S/he) is not telling the truth. /ma-mwa:-ey | i,,,
272,karnet,3,p109_karnet_n,"1. iron, metal",,,
273,tebes,3,p285_tebes_a,"broad, wide",,,
274,koba,3,p145_kobanda_n,bellows,,,
275,ng'o,3,p225_ng'ogi_n,sin,,,
276,ser,3,p261_serem_n,"space in front of a house, porch",,,
277,keteriat,3,p120_keteriat_n,cricket,,,
278,ng'om,3,p230_ng'om_a,"clever, smart, intelligent. chichi",,,
279,koigoch,3,p146_koigoch_a,"tough, difficult, rough",,,
